dataset,gloss,num_samples,mean_euclidean_distance,median_euclidean_distance,std_euclidean_distance,euclidean_distance_variance,max_euclidean_distance,mean_cosine_distance,median_cosine_distance,std_cosine_distance,cosine_distance_variance,max_cosine_distance
VSL,e thẹn,3,32.17116834302465,24.776592342351982,10.695594256295337,114.39573649529781,47.295782761673074,0.5812944115588364,0.8526995694884707,0.404108926122107,0.16330402417156256,0.8811494825604005
VSL,màn,3,20.030139807996758,16.181275409353685,6.314139896683057,39.868362634884726,28.932553526566572,0.48875085533675294,0.6956039671492227,0.3190390334619977,0.10178590487236568,0.7325816966284351
VSL,quần bò,3,19.331901228901987,14.508272137044605,6.833985760659838,46.70336137690143,28.996611324436536,0.40838442529214897,0.5546150998296508,0.20780563678378663,0.043183182679115056,0.5560341586004778
VSL,tôn trọng,2,18.16348790935062,18.16348790935062,2.5121479338940403e-15,6.310887241768095e-30,18.163487909350625,0.4338518028265294,0.4338518028265294,0.42665979722388375,0.1820385825671256,0.8605116000504132
ASL,dance,7,16.58836228608153,10.829822397620804,13.692772309440063,187.49201351816853,49.5507713810955,0.3840827303610998,0.3808412582441306,0.24826791302114767,0.06163695663587615,0.8415902370121942
ASL,underwear,8,16.312111104034003,12.53300969940244,10.36832165291415,107.50209389828841,43.36854307229607,0.5682559024207325,0.6487650284657052,0.29707960444180814,0.08825629137530121,1.0228798988447796
VSL,bít tết (bò),3,15.853447911585034,13.383237554457748,5.599766556599453,31.3573854884097,23.604658048348043,0.19998454304853816,0.010677916706176238,0.2694254604290887,0.07259007872742644,0.5810071440427933
VSL,chuyên gia,3,14.740922815498934,12.161109744299262,4.850977864255086,23.531986239492834,21.535954485688332,0.2759874604253671,0.26344279429045336,0.04171335640855044,0.0017400041028667556,0.332179525743436
VSL,liếc nhìn,3,14.004352230916533,10.527119535011423,4.94376312579238,24.440793843944437,20.995856389379895,0.2523900073143967,0.32247948367562607,0.10069188892772421,0.01013885649583315,0.32469462274760785
VSL,Lượm,2,13.767340516497551,13.767340516497551,1.2560739669470201e-15,1.5777218104420236e-30,13.767340516497551,0.4580181181516505,0.4580181181516505,0.45491949068483806,0.20695174300495245,0.9129376088364886
ASL,after,7,13.726599133392508,8.790148437512247,11.018541521516957,121.40825726139322,40.388218061039446,0.6700438673931559,0.7623476273912264,0.2725164852801423,0.074265234749442,0.9598226849436273
ASL,nervous,7,12.952752854380991,9.743649462180443,5.711694442397528,32.623453403314805,24.494210594975605,0.5477860695232931,0.540115488256435,0.15484034112843598,0.02397553124077042,0.8195036354309749
ASL,bike,4,11.469817817988035,8.282799623376972,5.574617346550311,31.07635856045963,21.1247066308153,0.24342414180517707,0.23896889918837294,0.013011125117852589,0.00016928937683241454,0.26516022021997665
ASL,collect,4,11.293879956071558,11.568862908918831,3.5638485281286303,12.701016331444606,15.428560817834793,0.37696985933758553,0.30225433018832565,0.26292778963674296,0.06913102256326337,0.8046281438923718
ASL,librarian,4,11.222060239245186,8.745149582389072,5.19776515631023,27.01676262015271,20.160943576498884,0.10975799846572326,0.11983215281455672,0.04586271205556044,0.002103388357091249,0.16023130138040798
ASL,rich,6,11.10024114309806,11.044758490200909,1.7448462029149034,3.0444882718265567,14.3416801259729,0.30995116938838674,0.23667712998585716,0.22775791150057073,0.05187366625110181,0.6207933159185528
VSL,quê,3,11.044199623425575,8.427825897199053,3.8807516742221395,15.06023355697794,16.530459215561223,0.2029524733195643,0.018566941303792994,0.2609930783959913,0.06811738697061605,0.5720523756446092
ASL,warn,5,10.875018922923008,10.753946927611475,2.8179362680175344,7.940764810608589,15.991679001325739,0.49397061209479426,0.3597598183429467,0.2889289880678664,0.08347996014592127,0.9428372166161272
ASL,swimming,6,10.439910597420615,8.719750650467777,4.181530848464248,17.485200236658134,19.04404012796289,0.42383386723164457,0.406311491932678,0.14749144218224322,0.02175372551699799,0.6224935832944534
ASL,tiptoe,4,10.416857422626853,10.106057929038709,2.011873917577842,4.0476366602300144,13.537567395464993,0.4911660129166364,0.5009163561342338,0.2550497925346652,0.06505039667197576,0.7630015134418711
